character,line,line_clean
Rick,Morty! You gotta come on. Jus'... you gotta come with me.,Morty! You gotta come on. Jus'... you gotta come with me.
Rick,"I got a surprise for you, Morty.","I got a surprise for you, Morty."
Rick,"Come on, I got a surprise for you.  Come on, hurry up.","Come on, I got a surprise for you. Come on, hurry up."
Rick,"We gotta go, gotta get outta here, come on. Got a surprise for you Morty.","We gotta go, gotta get outta here, come on. Got a surprise for you Morty."
Rick,"What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.","What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage."
Rick,"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.","Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb."
Rick,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.","We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start."
Rick,"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.","Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica."
Rick,"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.","When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam."
Rick,And Jessica's gonna be Eve.,And Jessica's gonna be Eve.
Rick,"And so that's the surprise, Morty.","And so that's the surprise, Morty."
Rick,"I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.","I-I get what you're trying to say, Morty. Listen, I'm not... You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty."
Rick,"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty.","You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty."
Rick,"You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways.","You know what, Morty? You're right. Let's forget the girl altogether. She, she's probably nothing but trouble, anyways."
Rick,"Get off of me, Morty!","Get off of me, Morty!"
Rick,"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty.","Come on! What’s gotten into you? If you love Earth so much why don’t you marry it? What are you, crazy? Alright, alright, Morty."
Rick,Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.,Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.
Rick,"We'll park it right here, Morty. Right here on the side of the ree... road here.","We'll park it right here, Morty. Right here on the side of the ree... road here."
Rick,"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive.","You know what? That was all a test, Morty. Just an elaborate test to make you more assertive."
Rick,"Sure. Why not? I don’t, I don't know. Y-you know what, Mo—","Sure. Why not? I don’t, I don't know. Y-you know what, Mo—"
Rick,"What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?","What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?"
Rick,"Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.","Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later."
Rick,"There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands.","There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands."
Rick,"It's pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business.  It's important. Come on, Morty.","It's pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business. It's important. Come on, Morty."
Rick,"Do you have any concept of how much higher the stakes get out there, Morty? What do you think I can just do it all by myself? Come on!","Do you have any concept of how much higher the stakes get out there, Morty? What do you think I can just do it all by myself? Come on!"
Rick,"I'll do it later, Morty. He'll be fine. Let's go.","I'll do it later, Morty. He'll be fine. Let's go."
Rick,"There she is. All right. Come on, Morty. Let's go.","There she is. All right. Come on, Morty. Let's go."
Rick,"I never seen that thing before in my life. I don't even know what the hell it is! We got to get out of here, Morty! It's gonna kill us! We're gonna die! We're gonna die, Morty!","I never seen that thing before in my life. I don't even know what the hell it is! We got to get out of here, Morty! It's gonna kill us! We're gonna die! We're gonna die, Morty!"
Rick,"Oh, Morty, take a deep breath. Breathe that breathe that fresh air in, Morty. Y-you smell that? That's the smell of adventure, Morty. That's that's the smell of-of-of-of a whole different evolutionary timeline.","Oh, Morty, take a deep breath. Breathe that breathe that fresh air in, Morty. Y-you smell that? That's the smell of adventure, Morty. That's that's the smell of-of-of-of a whole different evolutionary timeline."
Rick,"Are you joking me? I mean, look at all the crazy crap surrounding us. Look at that thing right there.  What the hell is that thing? You think you're gonna see that kind of thing at school?  Look at it just lumbering around.  It defies all logic, that thing.","Are you joking me? I mean, look at all the crazy crap surrounding us. Look at that thing right there. What the hell is that thing? You think you're gonna see that kind of thing at school? Look at it just lumbering around. It defies all logic, that thing."
Rick,"Ta-ta-ta-ta-ta-ta. Morty, you see this?","Ta-ta-ta-ta-ta-ta. Morty, you see this?"
Rick,"You see what we just stumbled upon, Morty? Any idea what that is down there?","You see what we just stumbled upon, Morty? Any idea what that is down there?"
Rick,"That's right, Morty the mega trees with the mega fruit on them and that's what I'm talking about, Morty. That's where my seeds are. If we would have done what you wanted, I would have never have found them, because you're so in love with school.","That's right, Morty the mega trees with the mega fruit on them and that's what I'm talking about, Morty. That's where my seeds are. If we would have done what you wanted, I would have never have found them, because you're so in love with school."
Rick,"You ask a lot of questions, Morty. Not very charismatic. It makes you kind of an  under-  underfoot figure.","You ask a lot of questions, Morty. Not very charismatic. It makes you kind of an under- underfoot figure."
Rick,"Just take these shoes, Morty. They're  special grappling shoes. When you're wearing these things, these babies, you can basically just walk on any surface you want, Morty up, down, below, turn around to the left. These things really bring it all together.","Just take these shoes, Morty. They're special grappling shoes. When you're wearing these things, these babies, you can basically just walk on any surface you want, Morty up, down, below, turn around to the left. These things really bring it all together."
Rick,"You have to turn them on, Morty! The shoes have to be turned on!","You have to turn them on, Morty! The shoes have to be turned on!"
Rick,"Morty, oh, you really d-did a number on  your legs right now. You know, you got to turn  the shoes on, Morty, for them to work. Yeah, look I turned mine on. I had no problem getting down here. It was a leisurely breeze.","Morty, oh, you really d-did a number on your legs right now. You know, you got to turn the shoes on, Morty, for them to work. Yeah, look I turned mine on. I had no problem getting down here. It was a leisurely breeze."
Rick,"Yeah, I can see that. But do you think you'll still be able to help me collect my seeds, Morty?","Yeah, I can see that. But do you think you'll still be able to help me collect my seeds, Morty?"
Rick,"Okay, hold on just a second, Morty.","Okay, hold on just a second, Morty."
Rick,"Don't worry about it, Morty. Just come help me get these seeds, all right, buddy?","Don't worry about it, Morty. Just come help me get these seeds, all right, buddy?"
Rick,"Not that you asked, Morty, but what just happened there is I went into a future dimension with such advanced medicine that they had broken-leg serum at every corner drugstore.  The stuff was all over the place, Morty.","Not that you asked, Morty, but what just happened there is I went into a future dimension with such advanced medicine that they had broken-leg serum at every corner drugstore. The stuff was all over the place, Morty."
Rick,"It's as good as garbage, Morty. It's not gonna work anymore, Morty.","It's as good as garbage, Morty. It's not gonna work anymore, Morty."
Rick,"There's ways to get back home, Morty. It's just it's just gonna be a little bit of a hassle. We're gonna have to go through interdimensional customs, so you're gonna have to do me a real solid.","There's ways to get back home, Morty. It's just it's just gonna be a little bit of a hassle. We're gonna have to go through interdimensional customs, so you're gonna have to do me a real solid."
Rick,"When we get to customs, I'm gonna need you to take these seeds into the bathroom, and I'm gonna need you to put them way up inside your butthole, Morty.","When we get to customs, I'm gonna need you to take these seeds into the bathroom, and I'm gonna need you to put them way up inside your butthole, Morty."
Rick,"Put them way up inside there, as far as they can fit.","Put them way up inside there, as far as they can fit."
Rick,"Well, somebody's got to do it, Morty. Th-these seeds aren't gonna get through customs unless they're in someone's rectum, Morty","Well, somebody's got to do it, Morty. Th-these seeds aren't gonna get through customs unless they're in someone's rectum, Morty"
Rick,"And they'll fall right out of mine. I've done this too many times, Morty. I mean, you're young. Y-y-you've got your whole life ahead of you, and your anal cavity is still taut, yet malleable. You got to do it for grandpa, Morty. Y-  you've got to put these seeds inside your butt.","And they'll fall right out of mine. I've done this too many times, Morty. I mean, you're young. Y-y-you've got your whole life ahead of you, and your anal cavity is still taut, yet malleable. You got to do it for grandpa, Morty. Y- you've got to put these seeds inside your butt."
Rick,"Come on, Morty. Please, Morty. You have to do it, Morty.","Come on, Morty. Please, Morty. You have to do it, Morty."
Rick,"I don't like it here, Morty. I can't abide bureaucracy. I don't like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt?","I don't like it here, Morty. I can't abide bureaucracy. I don't like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt?"
Rick,"That means they're good ones. You're a good kid, Morty. Those mega seeds are super valuable to my work. You've been a huge help to me. I'm gonna be able to do a-","That means they're good ones. You're a good kid, Morty. Those mega seeds are super valuable to my work. You've been a huge help to me. I'm gonna be able to do a-"
Rick,Why does he have to go over there?,Why does he have to go over there?
Rick,What new-  what new machine?,What new- what new machine?
Rick,"Ooh! Oh, nice, Morty! The student becomes the teacher.","Ooh! Oh, nice, Morty! The student becomes the teacher."
Rick,"I need to type in the coordinates to our home world, Morty. Cover me.","I need to type in the coordinates to our home world, Morty. Cover me."
Rick,"They're just robots, Morty! It's okay to shoot them! They're robots!","They're just robots, Morty! It's okay to shoot them! They're robots!"
Rick,"It's a figure of speech, Morty. They're bureaucrats. I don't respect them. Just keep shooting, Morty. You have no idea what prison is like here!","It's a figure of speech, Morty. They're bureaucrats. I don't respect them. Just keep shooting, Morty. You have no idea what prison is like here!"
Rick,"Come on, Morty! We got to get the hell out of here!","Come on, Morty! We got to get the hell out of here!"
Rick,"You can get his number later. Come on, Morty. We got to get out of here. You got to get those seeds out of your ass.","You can get his number later. Come on, Morty. We got to get out of here. You got to get those seeds out of your ass."
Rick,"Oh, hi, Jerry. Oh, my goodness, Morty! What are you doing out of class? We talked about this. Your-your parents and I are very disappointed in-in this behavior... No? No takers?","Oh, hi, Jerry. Oh, my goodness, Morty! What are you doing out of class? We talked about this. Your-your parents and I are very disappointed in-in this behavior... No? No takers?"
Rick,You guys should really not be touching that stuff. It's beyond your reasoning.,You guys should really not be touching that stuff. It's beyond your reasoning.
Rick,Takes one to know one.,Takes one to know one.
Rick,What what are you guys doing with my stuff?,What what are you guys doing with my stuff?
Rick,"A nursing home? What are what are you, nuts? I'm a genius. I build robots for fun.","A nursing home? What are what are you, nuts? I'm a genius. I build robots for fun."
Rick,What are you trying to say about Morty? That he's stupid or something?,What are you trying to say about Morty? That he's stupid or something?
Rick,I-I-I don't know what you mean by that. Can can can you be a little bit more specific?,I-I-I don't know what you mean by that. Can can can you be a little bit more specific?
Rick,"Morty, t-tell your parents the square root of pi.","Morty, t-tell your parents the square root of pi."
Rick,"The square root of Pi, Morty. Go!","The square root of Pi, Morty. Go!"
Rick,"Morty, tell your parents the first law of Thermodynamics.","Morty, tell your parents the first law of Thermodynamics."
Rick,I told the both of you school is stupid. It's not how you learn things. Morty's a gifted child. He has a special mind. That's why he's my little helper. He's like me. He's gonna be doing great science stuff later in his life. He's too smart for school. He needs to keep hanging out and helping me.,I told the both of you school is stupid. It's not how you learn things. Morty's a gifted child. He has a special mind. That's why he's my little helper. He's like me. He's gonna be doing great science stuff later in his life. He's too smart for school. He needs to keep hanging out and helping me.
Rick,"Okay, Jerry. You drive a hard bargain, but what am I supposed to do? Say no? You-you really wear the pants around here. I just want you to know, between us, from now on, it's gonna be clear communication.","Okay, Jerry. You drive a hard bargain, but what am I supposed to do? Say no? You-you really wear the pants around here. I just want you to know, between us, from now on, it's gonna be clear communication."
Rick,No idea what you're talking about.,No idea what you're talking about.
Rick,"Full disclosure, Morty it's not. Temporary superintelligence is just a side effect of the mega seeds dissolving in your rectal cavity.","Full disclosure, Morty it's not. Temporary superintelligence is just a side effect of the mega seeds dissolving in your rectal cavity."
Rick,"Yeah, and once those seeds wear off, you're gonna lose most of your motor skills, and you're also gonna lose a significant amount of brain functionality for 72 hours, Morty.","Yeah, and once those seeds wear off, you're gonna lose most of your motor skills, and you're also gonna lose a significant amount of brain functionality for 72 hours, Morty."
Rick,"Morty, come on. I need your help tonight.","Morty, come on. I need your help tonight."
Rick,"I thought the whole point of having a dog was to feel superior, Jerry. If I were you, I wouldn't pull that thread. Come on, Morty.","I thought the whole point of having a dog was to feel superior, Jerry. If I were you, I wouldn't pull that thread. Come on, Morty."
Rick,"Boy, you really got me up against a wall this time, Jerry.","Boy, you really got me up against a wall this time, Jerry."
Rick,"All right, Ruffles What's his name?","All right, Ruffles What's his name?"
Rick,"Yeah, you're at the top of your game now, Jerry. Have fun. Come on, Morty.","Yeah, you're at the top of your game now, Jerry. Have fun. Come on, Morty."
Rick,"Yeah, Morty, if you like that, boy, you're you're really going to flip your lid over this one.","Yeah, Morty, if you like that, boy, you're you're really going to flip your lid over this one."
Rick,"It's a device, Morty, that when you put it in your ear, you can enter people's dreams, Morty. It's just like that movie that you keep crowing about.","It's a device, Morty, that when you put it in your ear, you can enter people's dreams, Morty. It's just like that movie that you keep crowing about."
Rick,"That's right, Morty. This is gonna be a lot like that, except, you know, it's gonna may--be make sense.","That's right, Morty. This is gonna be a lot like that, except, you know, it's gonna may--be make sense."
Rick,"You don't have to try to impress me, Morty. Listen, tonight we're gonna go into the home of your math teacher, Mr. Goldenfold, and we're gonna incept the idea in his brain to give you A's in math, Morty. That way you can, you know, y-you're gonna help me with my science, Morty, all the time.","You don't have to try to impress me, Morty. Listen, tonight we're gonna go into the home of your math teacher, Mr. Goldenfold, and we're gonna incept the idea in his brain to give you A's in math, Morty. That way you can, you know, y-you're gonna help me with my science, Morty, all the time."
Rick,"Are you listening to me, Morty? Homework is stupid. The whole point is to get less of it.","Are you listening to me, Morty? Homework is stupid. The whole point is to get less of it."
Rick,"Come on, let's just get over there and deal with this thing. W-we're gonna incept your teacher. You're frustrating me.","Come on, let's just get over there and deal with this thing. W-we're gonna incept your teacher. You're frustrating me."
Rick,I'm a full season behind.,I'm a full season behind.
Rick,"It's about to get a whole lot weirder, Morty.","It's about to get a whole lot weirder, Morty."
Rick,"All right, Morty, time to make our move.","All right, Morty, time to make our move."
Rick,Allahu  akbar! We're gonna take control of this plane! We're gonna 9/11 it unless Morty Smith gets better grades in math!,Allahu akbar! We're gonna take control of this plane! We're gonna 9/11 it unless Morty Smith gets better grades in math!
Rick,"Hey! I said nobody move, buddy!","Hey! I said nobody move, buddy!"
Rick,"Goldenfold's got more control here than I anticipated. I mean, the guy teaches high-school math.  I didn't take him for an active dreamer. We've got to take him out so he wakes up, Morty but we can't get killed. If you get killed in someone else's dream, you die for real, Morty.","Goldenfold's got more control here than I anticipated. I mean, the guy teaches high-school math. I didn't take him for an active dreamer. We've got to take him out so he wakes up, Morty but we can't get killed. If you get killed in someone else's dream, you die for real, Morty."
Rick,"Don't be a baby! You avoid getting shot in real life all the time, Morty. Just do the same thing here, and we'll be fine!","Don't be a baby! You avoid getting shot in real life all the time, Morty. Just do the same thing here, and we'll be fine!"
Rick,"Goldenfold, we're coming out! We just want to talk!","Goldenfold, we're coming out! We just want to talk!"
Rick,Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.,Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.
Rick,"Oh, no, Morty. His subconscious is panicking.","Oh, no, Morty. His subconscious is panicking."
Rick,Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!,Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!
Rick,"Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!","Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!"
Rick,"Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!","Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!"
Rick,"Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch.","Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch."
Rick,"Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here.","Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here."
Rick,"Time to go another dream deep, Morty!","Time to go another dream deep, Morty!"
Rick,"Geez, I don't know, Morty. Wha-what do you want from me?","Geez, I don't know, Morty. Wha-what do you want from me?"
Rick,Looks like some sort of legally safe knock-off of an '80s horror character with miniature swords for fingers instead of knives.,Looks like some sort of legally safe knock-off of an '80s horror character with miniature swords for fingers instead of knives.
Rick,"Holy crap! We have to escape into someone else's dreams, Morty!","Holy crap! We have to escape into someone else's dreams, Morty!"
Rick,"Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty.","Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty."
Rick,"Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!","Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!"
Rick,What are we here for again? Incepting? We're trying to incept-,What are we here for again? Incepting? We're trying to incept-
Rick,"Hold on, Morty. Y-you know what? He keeps saying we can run but we can hide. I say we try hiding.","Hold on, Morty. Y-you know what? He keeps saying we can run but we can hide. I say we try hiding."
Rick,"Yeah, well, since when are we taking this guy's advice on anything?","Yeah, well, since when are we taking this guy's advice on anything?"
Rick,Worst-case scenario we're back to running.,Worst-case scenario we're back to running.
Rick,"Thanks, Morty. Yeah, it's nice to be on the same page every once in a while.","Thanks, Morty. Yeah, it's nice to be on the same page every once in a while."
Rick,"Oh, this is perfect, Morty. Look at that. He's getting sleepy. Just a little bit longer before he calls it a day. That's when we make our move.","Oh, this is perfect, Morty. Look at that. He's getting sleepy. Just a little bit longer before he calls it a day. That's when we make our move."
Rick,"Morty, this is perfect. After a little scary coitus, they should be fast asleep and then we'll incept him.","Morty, this is perfect. After a little scary coitus, they should be fast asleep and then we'll incept him."
Rick,Looks like scary Terry's having a nightmare.,Looks like scary Terry's having a nightmare.
Rick,"Yeah, this is a bunch of bullcrap. Who cares what stupid pun you make when you kill someone? Why don't you let the poor guy say whatever he wants?","Yeah, this is a bunch of bullcrap. Who cares what stupid pun you make when you kill someone? Why don't you let the poor guy say whatever he wants?"
Rick,"You're putting too much pressure on yourself, scary Terry. You know, I mean, y-you're perfectly scary enough as it is.","You're putting too much pressure on yourself, scary Terry. You know, I mean, y-you're perfectly scary enough as it is."
Rick,"You're our boy, dawg. Don't even trip.","You're our boy, dawg. Don't even trip."
Rick,"As a matter of fact, Terry, there is something you could help us with.","As a matter of fact, Terry, there is something you could help us with."
Rick,"Out of the frying pan dot, dot, dot, huh, Morty?","Out of the frying pan dot, dot, dot, huh, Morty?"
Rick,"Well, it's possible that your dog became self-aware and made modifications on the cognition amplifier, then turned on Jerry, Beth, and Summer after learning about humanity's cruel subjugation of his species, but your guess is as good as mine, Morty.","Well, it's possible that your dog became self-aware and made modifications on the cognition amplifier, then turned on Jerry, Beth, and Summer after learning about humanity's cruel subjugation of his species, but your guess is as good as mine, Morty."
Rick,If we hurry we can set up camp in a sewer tunnel or something before the dogs completely take over.,If we hurry we can set up camp in a sewer tunnel or something before the dogs completely take over.
Rick,"It's all over, Jerry. The dogs are on a path to total world domination. But, hey, at least they know not to piss on your carpet, right?","It's all over, Jerry. The dogs are on a path to total world domination. But, hey, at least they know not to piss on your carpet, right?"
Rick,"No, no, no, I was just playing dead. Good news, though, Morty. This whole thing's gonna be over really soon.","No, no, no, I was just playing dead. Good news, though, Morty. This whole thing's gonna be over really soon."
Rick,"It's a dream, Morty. We're in your dog's dream. The night the dogs captured us, after you cried and crapped your pants, we all went to sleep. Then I used my dream inceptors to put the two of us inside snuffles' dream.","It's a dream, Morty. We're in your dog's dream. The night the dogs captured us, after you cried and crapped your pants, we all went to sleep. Then I used my dream inceptors to put the two of us inside snuffles' dream."
Rick,"It's been six hours. Dreams move one one-hundredth the speed of reality, and dog time is one-seventh human time. So, you know, every day here is like a minute. It's like ""Inception,"" Morty, so if it's confusing and stupid, then so is everyone's favorite movie.","It's been six hours. Dreams move one one-hundredth the speed of reality, and dog time is one-seventh human time. So, you know, every day here is like a minute. It's like ""Inception,"" Morty, so if it's confusing and stupid, then so is everyone's favorite movie."
Rick,"Look, d-d-d-don't worry about it, Morty. Here, here take these, Morty. Take these.","Look, d-d-d-don't worry about it, Morty. Here, here take these, Morty. Take these."
Rick,Close. It's gonna make your kidneys shut down.,Close. It's gonna make your kidneys shut down.
Rick,"It's necessary for the plan, Morty. Don't even trip, dawg.","It's necessary for the plan, Morty. Don't even trip, dawg."
Rick,"I think it will be great, Morty. You know it could be developed in-into a very satisfying project for people of all ages. I mean, I'd watch it, Morty, for at least 11 minutes a pop. You know, may-maybe they'll do it board-driven.","I think it will be great, Morty. You know it could be developed in-into a very satisfying project for people of all ages. I mean, I'd watch it, Morty, for at least 11 minutes a pop. You know, may-maybe they'll do it board-driven."
Rick,"What do you know, Morty? What do you know?","What do you know, Morty? What do you know?"
Rick,"Oooh! This is how you dream, bitch.","Oooh! This is how you dream, bitch."
Rick,"I should get her pregnant, then she'll have to marry me.","I should get her pregnant, then she'll have to marry me."
Rick,"Sorry, please proceed with your story about banging my daughter in high school.  I'm not sure you want to take romantic advice from this guy, Morty, his marriage is hanging from a thread.","Sorry, please proceed with your story about banging my daughter in high school. I'm not sure you want to take romantic advice from this guy, Morty, his marriage is hanging from a thread."
Rick,"Jerry, it's your house, whatever you say it is is how it is,  but I think a blind man could see that Beth is looking for the door. I barely have a reason to care and even I noticed.","Jerry, it's your house, whatever you say it is is how it is, but I think a blind man could see that Beth is looking for the door. I barely have a reason to care and even I noticed."
